estacao data hora_gmt hora_local temp_bulbo_seco temp_bulbo_umido umidade_relativa pressao_atm lua_azimute lua_altitude lua_distancia sol_azimute sol_altitude sol_distancia latiude_estacao longitude_estacao altitude_estacao
82024 1976-08-25 12:00:00 1200 22.296875 21.5 93 1005.0 84.44531878412866 30.064995057133036 365834.870697862 79.42415632384487 28.857285961082955 151188970.6073825 2.82 -60.66 83.0
82024 1976-08-25 18:00:00 1800 29.0 24.203125 67 1003.0 275.65626802208664 63.19706314689477 362500.01137420035 286.46276374707145 60.342478864723496 151178245.9584719 2.82 -60.66 83.0
82024 1976-08-26 00:00:00 0 25.203125 24.703125 96 1002.5 275.462667699091 -23.305340859169824 370021.1982661085 283.35689003035117 -27.738000221502464 151178453.64886314 2.82 -60.66 83.0
82024 1976-08-26 12:00:00 1200 24.90625 24.203125 94 1005.0 89.31449160041029 17.293933419287356 364386.3149788002 79.81727272684695 28.94127295915285 151155661.2485056 2.82 -60.66 83.0
82024 1976-08-26 18:00:00 1800 31.40625 24.703125 58 1002.5 259.9864024694774 75.71972242697643 359567.7051611699 285.7454335313115 60.35181952150528 151144771.46230838 2.82 -60.66 83.0
82024 1976-08-27 00:00:00 0 27.0 25.796875 91 1001.0 269.58438388123363 -10.897703713814556 366602.707561206 282.978950310228 -27.859647251408116 151144819.82045302 2.82 -60.66 83.0
82024 1976-08-27 12:00:00 1200 26.09375 24.40625 87 1004.5 93.59179414758425 4.2735371494939125 364371.9145659891 80.21401667467036 29.025982659972925 151121667.43686292 2.82 -60.66 83.0
82024 1976-08-27 18:00:00 1800 32.59375 25.0 54 1001.5 189.45378618527775 82.513035355407 358318.0675592785 285.02177648497127 60.35612680719213 151110618.20458055 2.82 -60.66 83.0
82024 1976-08-28 00:00:00 0 26.703125 24.0 80 1000.0 264.15884426580953 1.7095205923940526 364437.5595823957 282.59749489756456 -27.982373861279257 151110513.33506522 2.82 -60.66 83.0
82024 1976-08-28 12:00:00 1200 26.09375 24.0 84 1005.0 97.70524238850132 -8.820092422837856 365703.80764931877 80.61430664214566 29.111337952095205 151087016.15559763 2.82 -60.66 83.0
82024 1976-08-28 18:00:00 1800 30.203125 25.203125 67 1003.0 135.6242538126878 73.22822244460468 358732.5049902749 284.29224257427586 60.35532479606196 151075816.8119403 2.82 -60.66 83.0
82024 1976-08-29 00:00:00 0 28.796875 25.0 74 1001.5 258.7140418511584 14.310403318415752 363545.62800265505 282.21259051495076 -28.106093609382167 151075568.35511124 2.82 -60.66 83.0
82024 1976-08-29 12:00:00 1200 26.5 24.0 81 1006.5 102.03374588561125 -21.827482120697912 368159.4886413037 81.01806050938144 29.19725776992365 151051748.26802382 2.82 -60.66 83.0
82024 1976-08-29 18:00:00 1800 28.0 24.0 72 1003.5 123.25193078969022 60.42982545360257 360634.74852860137 283.55729108742486 60.34934862642814 151040411.22488683 2.82 -60.66 83.0
82024 1976-08-30 00:00:00 0 27.59375 24.796875 80 1001.5 252.75479707411466 26.71112766549333 363830.8978619466 281.82430375292364 -28.230715290100658 151040031.68522123 2.82 -60.66 83.0
82024 1976-08-30 12:00:00 1200 24.296875 23.796875 96 1006.5 107.06068745972105 -34.59609671501535 371434.28965419636 81.42519540555301 29.28365583317436 151015915.66376212 2.82 -60.66 83.0
82024 1976-08-30 18:00:00 1800 31.5 25.5 62 1003.0 117.92796388211728 47.32722642382717 363741.07175610896 282.8173897768001 60.3381459399036 151004455.48996726 2.82 -60.66 83.0
82024 1976-08-31 00:00:00 0 27.203125 24.703125 82 1002.5 245.57797783645057 38.70004404819167 365119.98467608454 281.43270123093197 -28.356141853429587 151003959.26172978 2.82 -60.66 83.0
82024 1976-08-31 12:00:00 1200 25.0 24.0 92 1005.0 113.62904927737746 -46.94873011244021 375201.74086233886 81.83562777404623 29.370439999470605 150979577.30894518 2.82 -60.66 83.0
82024 1976-08-31 18:00:00 1800 33.6875 25.0 54 1003.0 114.646117131231 34.31120499709817 367722.7203883574 282.0730126461592 60.32167760387578 150968009.67538556 2.82 -60.66 83.0
82024 1976-09-01 00:00:00 0 28.5 24.5 72 1001.5 235.93624479341628 49.971511144820596 367208.4789928941 281.03784897301597 -28.482270255184964 150967411.98944226 2.82 -60.66 83.0
82024 1976-09-01 12:00:00 1200 25.90625 23.296875 80 1004.0 123.60092015555189 -58.57779940045633 379165.61737312743 82.2492737191312 29.457512157883787 150942795.08008105 2.82 -60.66 83.0
82024 1976-09-01 18:00:00 1800 32.3125 25.0 55 1001.5 112.14628605269439 21.490002038224752 372262.0834772761 281.3246370314593 60.299918146707405 150931135.77186447 2.82 -60.66 83.0
82024 1976-09-02 00:00:00 0 28.59375 24.296875 71 1001.0 221.34612306349746 59.91748020290239 369901.6378866028 280.6398123460728 -28.608991373027393 150930451.74784586 2.82 -60.66 83.0
82024 1976-09-02 12:00:00 1200 27.0 23.90625 77 1003.5 141.8260702720887 -68.65655568080246 383093.52049935336 82.66604942242544 29.544768540440646 150905630.07093748 2.82 -60.66 83.0
