--------------------
BDMEP - INMET
--------------------
Estação           : BOA VISTA - RR (OMM: 82024)
Latitude  (graus) : 2.82
Longitude (graus) : -60.66
Altitude  (metros): 83.00
Estação Operante
Inicio de operação: 01/01/1923
Periodo solicitado dos dados: 01/01/1900 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82024;01/01/1961;1200;26;23.9;83;994.2;5;5;8;
82024;01/01/1961;1800;32.3;27;65;991.6;5;3;9;
82024;02/01/1961;0000;25.8;24.6;91;991.9;9;1;7;
82024;02/01/1961;1200;26.8;24;78;995;5;7;7;
82024;02/01/1961;1800;32.6;27.2;64;993.4;5;7;8;
82024;03/01/1961;0000;28.3;26.2;84;992.3;5;3;5;
82024;03/01/1961;1200;26.8;23.9;76;995.6;9;7;7;
82024;03/01/1961;1800;32.3;25.7;57;993.9;5;9;8;
82024;04/01/1961;0000;28.7;25.3;75;991.2;5;3;5;
82024;04/01/1961;1200;26.5;24.5;84;994.4;9;7;7;
82024;04/01/1961;1800;29.9;26;73;993.9;5;9;9;
82024;05/01/1961;0000;27.2;24.4;79;993.4;5;5;5;
82024;05/01/1961;1200;27.1;24.7;81;994;5;9;6;
82024;05/01/1961;1800;31.8;26.6;65;992.6;5;7;7;
82024;06/01/1961;0000;28.8;25.1;73;990.8;5;3;5;
82024;06/01/1961;1200;27;24.8;83;994;5;7;7;
82024;06/01/1961;1800;32.4;27.1;66;991;9;5;8;
82024;07/01/1961;0000;28.9;25.8;77;989.9;5;3;6;
82024;07/01/1961;1200;26.1;24.2;85;994.3;5;3;7;
82024;07/01/1961;1800;30.2;26.5;74;992.7;5;7;9;
82024;08/01/1961;0000;28;25.9;84;990.3;9;3;4;
82024;08/01/1961;1200;25.7;24.1;87;993.4;9;3;9;
82024;08/01/1961;1800;32.5;26.4;60;990.4;5;3;8;
82024;09/01/1961;0000;27.8;25.3;80;989.9;5;3;5;
82024;09/01/1961;1200;24.2;23.2;92;995;5;7;9;
82024;09/01/1961;1800;28.9;24.9;71;993;5;7;9;
82024;10/01/1961;0000;26.8;24.1;79;991.9;5;3;3;
82024;10/01/1961;1200;25.3;23.4;85;994.3;5;5;6;
82024;10/01/1961;1800;31.7;26.3;64;991.8;5;5;7;
82024;11/01/1961;0000;27.3;25.8;88;991.8;5;3;5;
82024;11/01/1961;1200;23.9;23.4;96;995.6;9;3;10;
82024;11/01/1961;1800;29.8;26.2;74;992;9;3;8;
