--------------------
BDMEP - INMET
--------------------
Estação           : BOA VISTA - RR (OMM: 82024)
Latitude  (graus) : 2.82
Longitude (graus) : -60.66
Altitude  (metros): 83.00
Estação Operante
Inicio de operação: 01/01/1923
Periodo solicitado dos dados: 25/08/1976 a 25/08/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82024;25/08/1976;0000;25.3;24.3;92;1003.1;36;3;1;
82024;25/08/1976;1200;22.3;21.5;93;1005.2;23;1;1;
82024;25/08/1976;1800;29;24.2;67;1003;5;2;9;
82024;26/08/1976;0000;25.2;24.7;96;1002.6;32;1;5;
82024;26/08/1976;1200;24.9;24.2;94;1005.1;32;2;8;
82024;26/08/1976;1800;31.4;24.7;58;1002.6;5;3;8;
82024;27/08/1976;0000;27;25.8;91;1001.2;0;0;0;
82024;27/08/1976;1200;26.1;24.4;87;1004.3;5;1;4;
82024;27/08/1976;1800;32.6;25;54;1001.4;5;2;5;
82024;28/08/1976;0000;26.7;24;80;1000.2;32;2;4;
82024;28/08/1976;1200;26.1;24;84;1005;14;1;7;
82024;28/08/1976;1800;30.2;25.2;67;1003.2;14;5;9;
82024;29/08/1976;0000;28.8;25;74;1001.6;36;2;4;
82024;29/08/1976;1200;26.5;24;81;1006.3;5;5;6;
82024;29/08/1976;1800;28;24;72;1003.6;5;5;9;
82024;30/08/1976;0000;27.6;24.8;80;1001.6;32;2;5;
82024;30/08/1976;1200;24.3;23.8;96;1006.3;14;2;9;
82024;30/08/1976;1800;31.5;25.5;62;1003.2;9;5;7;
82024;31/08/1976;0000;27.2;24.7;82;1002.7;36;2;8;
82024;31/08/1976;1200;25;24;92;1005.2;23;2;5;
82024;31/08/1976;1800;33.7;25;54;1002.8;5;3;6;
82024;01/09/1976;0000;28.5;24.5;72;1001.6;5;2;4;
82024;01/09/1976;1200;25.9;23.3;80;1004.2;9;3;5;
82024;01/09/1976;1800;32.3;25;55;1001.4;14;3;7;
82024;02/09/1976;0000;28.6;24.3;71;1001;5;1;3;
82024;02/09/1976;1200;27;23.9;77;1003.4;5;5;5;
82024;02/09/1976;1800;33.3;24.5;48;1000;5;3;7;
82024;03/09/1976;0000;28.8;24.8;72;1000.6;5;2;8;
82024;03/09/1976;1200;25.8;23.3;81;1004.7;5;5;8;
82024;03/09/1976;1800;32.8;25.2;54;1001.9;5;3;9;
82024;04/09/1976;0000;28.3;26;83;1000.8;0;0;9;
82024;04/09/1976;1200;26.1;23.1;78;1005;5;5;7;
82024;04/09/1976;1800;32.1;24.1;51;1001.6;5;5;8;
82024;05/09/1976;0000;27.2;24.2;78;1000.7;32;2;6;
82024;05/09/1976;1200;26.3;24;83;1004;5;5;6;
82024;05/09/1976;1800;32.5;24.1;49;1000.6;5;5;6;
82024;06/09/1976;0000;28.2;24.8;76;997.9;32;2;3;
82024;06/09/1976;1200;26.1;23.2;45;1003.4;5;5;8;
82024;06/09/1976;1800;32.9;24.3;49;1000.3;5;2;8;
82024;07/09/1976;0000;29;24.7;71;999.5;36;2;8;
82024;07/09/1976;1200;27;23.3;73;1003.6;5;3;6;
82024;07/09/1976;1800;33.3;25.7;54;1001;5;5;6;
82024;08/09/1976;0000;29.3;25.8;76;1001.1;5;1;4;
82024;08/09/1976;1200;26.2;23.9;83;1004.6;23;1;5;
82024;08/09/1976;1800;34;23.5;41;1001.9;5;7;5;
82024;09/09/1976;0000;29;24.3;68;1001.2;5;3;6;
