--------------------
BDMEP - INMET
--------------------
Estação           : OBIDOS - PA (OMM: 82178)
Latitude  (graus) : -1.91
Longitude (graus) : -55.51
Altitude  (metros): 37.00
Estação Operante
Inicio de operação: 01/01/1927
Periodo solicitado dos dados: 01/01/1900 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82178;01/01/1971;1200;28.5;25;75;1007;0;0;0.4;
82178;01/01/1971;1800;33;27;63;1003.9;18;6.7;0.7;
82178;02/01/1971;0000;28.5;26;82;1003.4;14;4.4;0;
82178;02/01/1971;1200;26.5;24;81;1006.8;36;2.4;0.7;
82178;02/01/1971;1800;32.5;27.5;68;1003.6;14;6.7;0.7;
82178;03/01/1971;0000;27.8;25.8;85;1003.1;9;0.9;0.3;
82178;03/01/1971;1200;27.6;25;81;1005.6;0;0;0.6;
82178;03/01/1971;1800;33.7;28.2;66;1002.2;18;6.7;0.7;
82178;04/01/1971;0000;25.6;24.5;91;1001.5;9;0.9;0;
82178;04/01/1971;1200;26.4;24.7;87;1005.1;9;2.4;0.4;
82178;04/01/1971;1800;31.5;27;71;1002.4;18;4.4;0.7;
82178;05/01/1971;0000;28;25.2;80;1002.6;9;0.9;0;
82178;05/01/1971;1200;26.4;24;82;1005.5;9;0.9;0.6;
82178;05/01/1971;1800;34;28;63;1003.5;18;4.4;0.6;
82178;06/01/1971;0000;28.5;25.4;78;1002.8;9;4.4;0;
82178;06/01/1971;1200;26.8;24;79;1006.2;36;2.4;0.7;
82178;06/01/1971;1800;32.8;28.5;73;1003.6;18;4.4;0.7;
82178;07/01/1971;0000;25;23;84;1003.4;5;6.7;0.5;
82178;07/01/1971;1200;26.7;23.6;77;1006.6;36;0.9;0.6;
82178;07/01/1971;1800;31;25.9;67;1003.9;14;4.4;0.7;
82178;08/01/1971;0000;25.5;23.7;86;1004.6;36;2.4;0.6;
