--------------------
BDMEP - INMET
--------------------
Estação           : TEFE - AM (OMM: 82317)
Latitude  (graus) : -3.83
Longitude (graus) : -64.7
Altitude  (metros): 47.00
Estação Operante
Inicio de operação: 04/01/1929
Periodo solicitado dos dados: 01/01/1900 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82317;01/09/1969;1200;25.6;24.2;89;1009.2;;;7;
82317;01/09/1969;1800;27.2;25.4;86;1007.2;;;5;
82317;02/09/1969;0000;27.4;25.6;86;1007.2;;;;
82317;02/09/1969;1200;25.8;24.2;88;1008.6;;;7;
82317;02/09/1969;1800;27.8;26;86;1006.6;;;4;
82317;03/09/1969;0000;28;26.2;86;1006.6;;;;
82317;03/09/1969;1200;26.2;24.2;85;1008.6;;;5;
82317;03/09/1969;1800;28.6;25.6;78;1006.6;;;5;
82317;04/09/1969;0000;27.6;25.2;82;1006.6;;;;
82317;04/09/1969;1200;27;24.8;83;1007.9;;;4;
82317;04/09/1969;1800;30;26.2;73;1005.9;;;5;
82317;05/09/1969;0000;28.8;26;79;1005.9;;;;
82317;05/09/1969;1200;27.4;25;81;1007.2;;;4;
82317;05/09/1969;1800;30.8;26.2;68;1004.6;;;5;
82317;06/09/1969;0000;29.2;26.6;81;1003.9;;;;
82317;06/09/1969;1200;27.8;25.6;83;1006.6;;;5;
82317;06/09/1969;1800;30.2;26.8;76;1004.6;;;6;
82317;07/09/1969;0000;29.2;25.8;75;1003.2;;;;
82317;07/09/1969;1200;28.4;26.4;84;1007.9;;;7;
82317;07/09/1969;1800;31;26.6;70;1005.2;;;6;
82317;08/09/1969;0000;29.4;26.4;78;1003.9;;;;
82317;08/09/1969;1200;28.4;25.8;80;1007.9;;;0;
82317;08/09/1969;1800;31.6;26;63;1005.2;;;4;
82317;09/09/1969;0000;29.2;25.6;74;1003.9;;;;
82317;09/09/1969;1200;28;25.6;82;1007.9;;;7;
82317;09/09/1969;1800;28.8;26.2;80;1006.6;;;6;
82317;10/09/1969;0000;27;24.8;83;1004.6;;;;
82317;10/09/1969;1200;26.2;24.6;88;1009.2;;;8;
82317;10/09/1969;1800;28.4;26.2;83;1006.6;;;8;
82317;11/09/1969;0000;28.6;26.6;85;1005.9;;;;
82317;11/09/1969;1200;27.6;25.8;86;1009.2;;;4;
82317;11/09/1969;1800;28.8;26.4;81;1006.6;;;5;
82317;12/09/1969;0000;30;27.6;83;1005.9;;;;
82317;12/09/1969;1200;28;26;85;1009.9;;;8;
82317;12/09/1969;1800;30.2;26.8;76;1006.6;;;6;
82317;13/09/1969;0000;28;25.8;83;1005.2;;;;
82317;13/09/1969;1200;26.6;24.8;86;1009.2;;;7;
82317;13/09/1969;1800;28.6;27;88;1006.6;;;5;
82317;14/09/1969;0000;30;26.6;76;1005.9;;;;
82317;14/09/1969;1200;28;25.4;80;1007.2;;;1;
82317;14/09/1969;1800;30.4;26.4;72;1005.2;;;4;
