--------------------
BDMEP - INMET
--------------------
Estação           : BENJAMIN CONSTANT - AM (OMM: 82410)
Latitude  (graus) : -4.38
Longitude (graus) : -70.03
Altitude  (metros): 65.00
Estação Operante
Inicio de operação: 01/01/1924
Periodo solicitado dos dados: 01/01/1900 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82410;01/01/1970;1200;23.9;22.9;91;1013.2;14;1;1;
82410;01/01/1970;1800;29.9;25.1;67;1010.6;36;1;7;
82410;02/01/1970;0000;25.9;25.1;95;1011.1;5;1;1;
82410;02/01/1970;1200;23.9;23;92;1013.6;9;3;7;
82410;02/01/1970;1800;30.9;25.1;61;1010.8;36;3;5;
82410;03/01/1970;0000;24.9;23.9;92;1011.2;9;1;1;
82410;03/01/1970;1200;23.9;23;92;1015.2;36;1;1;
82410;03/01/1970;1800;27.9;24.3;73;1011;14;3;6;
82410;04/01/1970;0000;26.1;24.9;90;1011.2;0;0;1;
82410;04/01/1970;1200;23.1;22;90;1015.2;5;1;1;
82410;04/01/1970;1800;24.9;23;85;1013.9;14;1;1;
82410;05/01/1970;0000;23.9;22.8;90;1012.2;0;0;1;
82410;05/01/1970;1200;23.1;22.2;92;1014.6;5;1;1;
82410;05/01/1970;1800;28.9;24.1;66;1012.2;36;3;1;
82410;06/01/1970;0000;24.9;23.9;92;1009.6;18;1;1;
82410;06/01/1970;1200;23.3;22.4;92;1012.7;23;1;1;
82410;06/01/1970;1800;30.9;25.1;61;1010.8;5;5;7;
82410;07/01/1970;0000;26.5;25.1;89;1008.3;9;1;1;
82410;07/01/1970;1200;22.9;21.4;87;1013.2;14;1;1;
82410;07/01/1970;1800;26.1;23.9;82;1011.2;5;3;1;
82410;08/01/1970;0000;24.9;23.9;92;1009.9;14;1;1;
82410;08/01/1970;1200;23.7;22.4;89;1013.9;23;3;1;
82410;08/01/1970;1800;24.1;22.6;87;1013.2;5;1;1;
82410;09/01/1970;0000;24.1;22.4;85;1012.3;18;1;4;
82410;09/01/1970;1200;23.3;22;89;1013.9;9;1;7;
82410;09/01/1970;1800;29.1;24.9;69;1010.6;36;3;4;
82410;10/01/1970;0000;25.9;24.1;86;1007.9;9;1;1;
82410;10/01/1970;1200;23.7;22.6;91;1012.6;23;3;7;
82410;10/01/1970;1800;31.1;25.9;64;1009.5;23;5;4;
