--------------------
BDMEP - INMET
--------------------
Estação           : COARI - AM (OMM: 82425)
Latitude  (graus) : -4.08
Longitude (graus) : -63.13
Altitude  (metros): 46.00
Estação Operante
Inicio de operação: 01/01/1926
Periodo solicitado dos dados: 01/01/1900 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82425;01/11/1961;1200;25.1;23.3;85;1003.2;18;1;6;
82425;01/11/1961;1800;31;30;93;1001.1;18;1;3;
82425;02/11/1961;0000;26.4;24;81;1002;18;1;8;
82425;02/11/1961;1200;26;25;92;1004.2;0;0;3;
82425;02/11/1961;1800;31;30;93;1001.2;18;1;4;
82425;03/11/1961;0000;27.3;26.2;92;1003.1;18;1;8;
82425;03/11/1961;1200;26;25.4;95;1004.7;18;1;4;
82425;03/11/1961;1800;25.4;24.6;94;1007.5;18;1;8;
82425;04/11/1961;0000;21.3;20.6;94;1004.4;18;1;8;
82425;04/11/1961;1200;23;22.6;97;1005.2;18;1;8;
82425;04/11/1961;1800;31;30;93;1003.4;18;1.2;6;
82425;05/11/1961;0000;25.2;23.3;84;1003.4;18;1;8;
82425;05/11/1961;1200;25;24;92;1005.5;18;1;2;
82425;05/11/1961;1800;31;30;93;999.9;0;0;3;
82425;06/11/1961;0000;29;25;71;1001.5;18;1;8;
82425;06/11/1961;1200;26;25.2;94;1004.2;18;1;6;
82425;06/11/1961;1800;28;27;92;1005;18;1;4;
82425;07/11/1961;0000;26;25.2;94;1004;18;1;8;
82425;07/11/1961;1200;24.6;24;95;1005.4;18;1;3;
82425;07/11/1961;1800;30;28;85;1002.8;0;0;2;
82425;08/11/1961;0000;27;26;92;1003.2;18;1;8;
82425;08/11/1961;1200;25;24;92;1006.8;18;1;3;
82425;08/11/1961;1800;28.9;28;93;1006;18;1;4;
82425;09/11/1961;0000;24.1;23.3;93;1004.6;18;1;8;
82425;09/11/1961;1200;24;23.4;95;1006.6;0;0;5;
82425;09/11/1961;1800;30.4;28;83;1003.8;18;1;6;
82425;10/11/1961;0000;27.6;26;88;1005.1;18;1;8;
82425;10/11/1961;1200;24;23.2;93;1007.6;18;1;8;
82425;10/11/1961;1800;28;27;92;1005.8;18;1;8;
82425;11/11/1961;0000;25;24;92;1005.5;18;1;8;
82425;11/11/1961;1200;24.6;24;95;1007;18;1;6;
82425;11/11/1961;1800;27;26;92;1005;18;1;8;
82425;12/11/1961;0000;25;24;92;1005.6;18;1;8;
82425;12/11/1961;1200;24.4;24;97;1002.3;0;0;5;
82425;12/11/1961;1800;31;26.4;68;1002.6;18;1;4;
82425;13/11/1961;0000;26;25;92;1002.4;18;1;8;
82425;13/11/1961;1200;25;24;92;1004.8;18;1;6;
82425;13/11/1961;1800;29;27;85;1002.4;0;0;3;
82425;14/11/1961;0000;26;25;92;1003.2;0;0;8;
82425;14/11/1961;1200;24;23.6;97;1005.1;18;1;8;
82425;14/11/1961;1800;28;26;85;1002.4;18;1;4;
82425;15/11/1961;0000;26;25;92;1003.4;18;1;8;
82425;15/11/1961;1200;24.4;24;97;1002.3;18;1;3;
82425;15/11/1961;1800;29.6;27.4;84;1001.5;18;1;4;
82425;16/11/1961;0000;25;24;92;1003.5;18;1;8;
82425;16/11/1961;1200;24;23.2;93;1005.8;18;1;3;
82425;16/11/1961;1800;29;27;85;1002.2;18;1;4;
82425;17/11/1961;0000;25;24;92;1003.2;18;1;8;
82425;17/11/1961;1200;25;24;92;1006.2;18;1;2;
82425;17/11/1961;1800;31;30;93;1005;0;0;3;
82425;18/11/1961;0000;26.9;25;85;1003.1;18;1;8;
82425;18/11/1961;1200;26;25;92;1006;18;1;4;
82425;18/11/1961;1800;31;30;93;1002.6;18;1;3;
82425;19/11/1961;0000;28;26;85;1002.7;18;1;8;
82425;19/11/1961;1200;24.8;24;94;1007.5;18;1;2;
82425;19/11/1961;1800;30;29;93;1002;18;1;4;
82425;20/11/1961;0000;28;27;92;1004.4;18;1;8;
82425;20/11/1961;1200;25;24;92;1006.2;0;0;5;
82425;20/11/1961;1800;32;31;93;1001.2;0;0;4;
