--------------------
BDMEP - INMET
--------------------
Estação           : LABREA - AM (OMM: 82723)
Latitude  (graus) : -7.25
Longitude (graus) : -64.83
Altitude  (metros): 61.00
Estação Operante
Inicio de operação: 30/11/1972
Periodo solicitado dos dados: 01/01/1900 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82723;01/01/1973;0000;25.1;24.7;97;1001.9;;;;
82723;01/01/1973;1200;27.2;26.8;96;1004.4;9;1;6;
82723;01/01/1973;1800;32.8;30.9;86;1001.6;36;6;1;
82723;02/01/1973;0000;25.1;24.7;97;1001.9;27;1;1;
82723;02/01/1973;1200;23.8;23.5;98;1006.2;18;1;1;
82723;02/01/1973;1800;30;27;78;1004.2;14;4;7;
82723;03/01/1973;0000;25.4;24.2;91;1002.2;5;1;6;
82723;03/01/1973;1200;25.4;24.7;95;1005;23;1;7;
82723;03/01/1973;1800;28;26.2;86;1002.4;36;4;6;
82723;04/01/1973;0000;27.1;25.7;89;1002.3;14;2;1;
82723;04/01/1973;1200;22.8;22.4;97;1005.1;5;1;1;
82723;04/01/1973;1800;29;26.2;81;1003.2;5;2;8;
82723;05/01/1973;0000;24;23.6;97;1002.7;5;4;1;
82723;05/01/1973;1200;24.3;24;98;1004.3;18;1;1;
82723;05/01/1973;1800;30.3;27.2;78;1002.7;14;1;7;
82723;06/01/1973;0000;26.4;25.8;95;1002.3;0;0;6;
82723;06/01/1973;1200;25;24.4;95;1005;0;0;6;
82723;06/01/1973;1800;31.5;31;96;1004.3;23;3;7;
82723;07/01/1973;0000;25.8;25.4;97;1001.1;18;1;9;
82723;07/01/1973;1200;25.6;25.2;97;1005.9;0;0;1;
82723;07/01/1973;1800;31.4;27.5;73;1003.5;9;1;7;
82723;08/01/1973;0000;26.1;25;91;997.2;36;1;8;
82723;08/01/1973;1200;25.3;24.4;93;1005.9;23;1;1;
