--------------------
BDMEP - INMET
--------------------
Estação           : RONDONOPOLIS - MT (OMM: 83410)
Latitude  (graus) : -16.45
Longitude (graus) : -54.56
Altitude  (metros): 284.00
Estação Operante
Inicio de operação: 01/01/1992
Periodo solicitado dos dados: 01/01/1900 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83410;01/01/1995;1200;24.4;23.4;92;980.9;5;0.3;9;
83410;01/01/1995;1800;26.1;24.3;86;978;5;0.4;9;
83410;02/01/1995;0000;24.5;23.6;93;979.3;9;0.2;;
83410;02/01/1995;1200;23.9;23.8;100;982.4;5;0.3;9;
83410;02/01/1995;1800;29.9;25.2;68;979.8;27;0.5;8;
83410;03/01/1995;0000;23.7;23.6;98;981.1;9;0.3;6;
83410;03/01/1995;1200;24.7;24;93;980.6;32;0.1;9;
83410;03/01/1995;1800;25.7;24.6;90;978.9;27;0.3;9;
83410;04/01/1995;0000;24.1;23.8;96;978.4;18;0.1;7;
83410;04/01/1995;1200;24.1;23.6;94;980.8;9;0.5;9;
83410;04/01/1995;1800;23.3;23;97;979.4;5;0.3;9;
83410;05/01/1995;0000;23.1;23;98;980;36;0.3;7;
83410;05/01/1995;1200;24.7;24.2;95;980.4;9;0.3;9;
83410;05/01/1995;1800;25.1;23.8;88;979;32;0.4;8;
83410;06/01/1995;0000;25.7;24.8;91;978;14;0.7;9;
83410;06/01/1995;1200;23.9;23.4;96;981.4;32;0.3;9;
83410;06/01/1995;1800;27.5;24.8;78;980.1;27;0.8;9;
83410;07/01/1995;0000;23.9;23.6;98;978.3;5;0.3;7;
83410;07/01/1995;1200;23.7;23.6;98;980;5;0.2;9;
83410;07/01/1995;1800;28.3;25.2;77;977.2;27;0.6;8;
83410;08/01/1995;0000;24.9;24.6;98;977;9;0.5;9;
83410;08/01/1995;1200;23.7;23.4;97;978.8;0;0;8;
83410;08/01/1995;1800;25.7;23.6;82;978.4;32;0.9;9;
83410;09/01/1995;0000;23.5;22.8;95;977.4;14;0.2;9;
83410;09/01/1995;1200;25.1;23.5;85;979;36;0.4;7;
83410;09/01/1995;1800;25.9;23.4;80;981.2;27;1;9;
83410;10/01/1995;0000;23.7;23;93;977.5;5;0.5;9;
83410;10/01/1995;1200;22.2;22.2;99;979.4;5;0.3;9;
83410;10/01/1995;1800;25.9;24.8;91;977.2;9;0.4;9;
83410;11/01/1995;0000;22.4;22;96;978.3;5;0.5;9;
83410;11/01/1995;1200;23.3;22.2;90;978.2;5;0.3;8;
83410;11/01/1995;1800;27.5;24.6;77;978.5;9;0.6;9;
83410;12/01/1995;0000;23.7;23.2;95;978.2;9;0.3;9;
83410;12/01/1995;1200;26.7;24;80;980.8;5;0.2;7;
83410;12/01/1995;1800;32.7;25;51;979.3;5;0.6;8;
83410;13/01/1995;0000;25.5;24.8;95;980.5;0;0;7;
83410;13/01/1995;1200;25.7;24;85;982.9;14;0.4;9;
83410;13/01/1995;1800;32.1;25.2;55;980.8;14;0.3;9;
83410;14/01/1995;0000;24.9;22.8;83;979.5;5;0.2;9;
83410;14/01/1995;1200;24.5;23.6;93;982.3;9;0.3;6;
83410;14/01/1995;1800;32.7;25.2;52;980.4;5;0.4;6;
83410;15/01/1995;0000;26.5;24.6;85;980.1;23;0.3;6;
83410;15/01/1995;1200;27.9;24;72;983.1;27;0.4;9;
83410;15/01/1995;1800;33.1;24.6;48;980.1;32;0.3;8;
83410;16/01/1995;0000;26.9;25.2;86;979.9;18;0.3;8;
83410;16/01/1995;1200;25.7;22.2;72;982.9;5;0.4;9;
83410;16/01/1995;1800;33.3;25;50;980.2;14;0.4;9;
83410;17/01/1995;0000;27.3;24.6;80;980;32;0.4;8;
83410;17/01/1995;1200;26.7;23.8;78;978.7;23;0.3;6;
83410;17/01/1995;1800;32.1;25.2;55;980.5;36;0.2;7;
83410;18/01/1995;0000;26.3;22.8;72;978.8;32;0.1;8;
83410;18/01/1995;1200;25.9;23.6;81;981.7;32;0.4;9;
83410;18/01/1995;1800;32.1;27;66;980.2;32;0.2;8;
83410;19/01/1995;0000;24.3;21.6;78;978.3;9;0.4;8;
83410;19/01/1995;1200;24.9;23.2;86;980.8;9;0.3;8;
83410;19/01/1995;1800;33.1;25.2;51;978.2;9;0.4;7;
83410;20/01/1995;0000;25.5;23.4;84;979.1;5;0.2;8;
83410;20/01/1995;1200;21.1;20.2;91;978.8;9;1.2;9;
83410;20/01/1995;1800;31.5;23.8;51;979.8;5;0.2;8;
83410;21/01/1995;0000;27.1;22.8;68;982.1;9;0.2;8;
83410;21/01/1995;1200;25.3;23.2;82;983.9;23;0.1;9;
83410;21/01/1995;1800;33.1;25.2;51;977.2;9;0.3;8;
83410;22/01/1995;0000;23.5;21;80;980.2;9;0.9;9;
83410;22/01/1995;1200;25.5;23.6;85;981.5;5;0.3;9;
83410;22/01/1995;1800;31.5;26;64;978.5;32;0.3;7;
