--------------------
BDMEP - INMET
--------------------
Estação           : NHUMIRIM  NHECOLANDIA  - MS (OMM: 83513)
Latitude  (graus) : -18.98
Longitude (graus) : -56.62
Altitude  (metros): 89.00
Estação Operante
Inicio de operação: 01/07/1984
Periodo solicitado dos dados: 01/01/1900 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83513;01/11/2011;1200;24.1;20.9;73;1003.8;18;4;8;
83513;01/11/2011;1800;31.1;23.7;51;1000.8;14;6;7;
83513;02/11/2011;0000;24.9;20.3;64;999.8;18;2;0;
83513;02/11/2011;1200;24.7;18.9;55;1003.8;18;4;0;
83513;02/11/2011;1800;31.3;22.3;43;1001.8;18;6;0;
83513;03/11/2011;0000;24.5;21.3;73;1001.8;18;1;0;
83513;03/11/2011;1200;25.9;20.5;60;1002.8;14;4;0;
83513;03/11/2011;1800;35.5;27.1;50;1002.8;14;2;6;
83513;04/11/2011;0000;26.9;25.1;86;1000.8;0;0;0;
83513;04/11/2011;1200;27.9;24.1;72;1002.8;5;6;9;
83513;04/11/2011;1800;35.9;26.7;46;997.8;36;8;7;
83513;05/11/2011;0000;27.7;25.1;80;1000.8;5;1;6;
83513;05/11/2011;1200;27.9;23.1;66;1002.8;5;6;8;
83513;05/11/2011;1800;34.5;28.1;60;999.8;5;8;6;
83513;06/11/2011;0000;27;25.1;85;997.8;0;0;0;
83513;06/11/2011;1200;25.9;24.1;86;999.8;36;6;7;
83513;06/11/2011;1800;33.5;26.1;54;997.8;32;6;8;
83513;07/11/2011;0000;26.9;25.1;86;1001.8;5;1;6;
83513;07/11/2011;1200;26.9;24.1;79;999.8;5;8;8;
83513;07/11/2011;1800;33.1;27.1;61;997.8;36;8;7;
83513;08/11/2011;0000;27.1;25.1;84;997.8;36;1;0;
83513;08/11/2011;1200;27.1;24.1;77;997.8;5;8;0;
83513;08/11/2011;1800;34.3;27.1;56;999.8;5;6;8;
83513;09/11/2011;0000;27.9;25.1;79;999.8;0;0;0;
83513;09/11/2011;1200;28.3;24.7;73;997.8;5;8;0;
83513;09/11/2011;1800;35.3;27.1;51;999.8;5;8;4;
83513;10/11/2011;0000;27.9;25.5;82;999.8;0;0;7;
83513;10/11/2011;1200;28.7;25.5;76;998.8;5;4;7;
83513;10/11/2011;1800;36.5;28.3;51;994.3;32;8;8;
83513;11/11/2011;0000;25.4;23.1;81;999.8;23;8;9;
83513;11/11/2011;1200;26.3;23.7;80;1004.8;23;4;7;
83513;11/11/2011;1800;35.1;28.5;59;996.8;23;6;9;
83513;12/11/2011;0000;24.9;23.7;90;996.8;5;2;9;
83513;12/11/2011;1200;30.9;26.5;70;1000.3;9;2;3;
83513;12/11/2011;1800;29.5;27.3;83;996.5;18;4;6;
83513;13/11/2011;0000;27.9;26.9;92;997.8;0;0;0;
83513;13/11/2011;1200;30.9;26.3;69;996.3;36;6;8;
83513;13/11/2011;1800;31.9;27.5;70;992.8;36;4;10;
83513;14/11/2011;0000;27.1;25.1;84;994.8;36;1;6;
83513;14/11/2011;1200;27.3;25.3;84;994.8;32;6;10;
83513;14/11/2011;1800;27.6;26.7;93;993.2;9;4;10;
83513;15/11/2011;0000;25.3;25.1;99;993.8;18;4;10;
83513;15/11/2011;1200;24.5;21.7;77;997.8;18;6;7;
83513;15/11/2011;1800;30.7;24.1;56;999.8;18;8;6;
83513;16/11/2011;0000;23.8;22.9;92;999.8;0;0;0;
83513;16/11/2011;1200;25.7;21.7;69;999.8;14;6;0;
83513;16/11/2011;1800;32.7;25.3;53;997.3;14;6;3;
83513;17/11/2011;0000;27.5;24.5;77;997.8;14;1;0;
83513;17/11/2011;1200;27.9;23.1;66;999.8;14;2;0;
83513;17/11/2011;1800;34.1;25.1;46;999.8;14;8;3;
83513;18/11/2011;0000;26.1;23.7;81;999.8;0;0;0;
83513;18/11/2011;1200;27.9;22.9;64;999.8;9;4;5;
83513;18/11/2011;1800;37.1;28.1;49;996.3;9;6;5;
83513;19/11/2011;0000;27.9;25.5;82;999.8;0;0;0;
83513;21/11/2011;1200;31.1;26.7;69;997.8;36;8;9;
83513;21/11/2011;1800;35.9;28.1;53;997.8;36;10;10;
83513;22/11/2011;0000;24;23.1;92;999.8;14;2;9;
83513;22/11/2011;1200;23.6;21.7;84;1002.8;18;8;9;
83513;22/11/2011;1800;29.3;22.7;54;994.8;23;8;9;
83513;23/11/2011;0000;22.6;21.5;90;999.8;0;0;0;
83513;23/11/2011;1200;27.6;23.5;69;1001.8;36;2;3;
83513;23/11/2011;1800;33.9;22.8;35;997.2;36;4;2;
83513;24/11/2011;0000;24.2;23.4;93;997.3;5;2;0;
83513;24/11/2011;1200;28.4;24.5;72;999.8;9;2;4;
83513;24/11/2011;1800;36.1;28;53;996.8;27;2;6;
83513;25/11/2011;0000;26.5;24.9;87;996.3;9;1;4;
83513;25/11/2011;1200;30.5;26.6;73;998.3;32;4;2;
83513;25/11/2011;1800;36.5;28.1;51;993.8;5;4;2;
83513;26/11/2011;0000;29.9;27.3;81;993.8;36;4;0;
83513;26/11/2011;1200;31;27.1;73;998.3;14;2;4;
83513;26/11/2011;1800;33.3;27.2;60;995.2;18;4;6;
83513;27/11/2011;0000;28.9;26.7;84;994.8;5;2;0;
83513;27/11/2011;1200;29.9;26.1;74;999.8;36;4;0;
83513;27/11/2011;1800;37.7;28.7;49;994;36;6;5;
83513;28/11/2011;0000;29.9;27.7;84;997.8;0;0;0;
83513;28/11/2011;1200;30.5;26.5;72;998.3;36;4;3;
83513;28/11/2011;1800;37.7;29.7;54;995.8;14;2;4;
83513;29/11/2011;0000;30.4;26.7;74;994.8;36;1;0;
83513;29/11/2011;1200;27.3;25.9;89;998.3;27;4;4;
83513;29/11/2011;1800;33.7;27.5;60;994.8;32;4;4;
83513;30/11/2011;0000;27.7;26.1;86;993.8;18;1;0;
83513;30/11/2011;1200;29.9;26.3;75;996.3;32;4;10;
83513;30/11/2011;1800;36.5;28.6;54;993.8;36;6;3;
83513;01/12/2011;0000;29.7;27.3;82;994.8;9;1;0;
