--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS SALES - CE (OMM: 82777)
Latitude  (graus) : -7
Longitude (graus) : -40.38
Altitude  (metros): 583.50
Estação Operante
Inicio de operação: 01/06/1960
Periodo solicitado dos dados: 25/08/1976 a 25/08/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82777;25/08/1976;0000;23.1;16.2;50;947.1;14;3;0;
82777;25/08/1976;1200;23.1;18.4;65;950;14;8;8;
82777;25/08/1976;1800;29.6;18.4;35;945.2;14;7;3;
82777;26/08/1976;0000;21.3;14.2;46;947.3;0;0;0;
82777;26/08/1976;1200;23.5;17.4;56;948.9;14;7;0;
82777;26/08/1976;1800;30;18;31;945.4;14;4;4;
82777;27/08/1976;0000;23.9;16.4;47;947;14;1;0;
82777;27/08/1976;1200;24.2;16.8;48;949.4;14;8;0;
82777;27/08/1976;1800;31.4;18.4;28;945.6;14;7;5;
82777;28/08/1976;0000;25.4;17;43;947.8;14;6;4;
82777;28/08/1976;1200;24.4;17.6;52;950.9;14;9;0;
82777;28/08/1976;1800;29.4;18.4;34;947.3;18;4;5;
82777;29/08/1976;0000;24.2;16.4;45;949;14;4;0;
82777;29/08/1976;1200;23.7;17.2;54;951.2;14;8;0;
82777;29/08/1976;1800;31.2;18.8;30;946.6;14;4;5;
82777;30/08/1976;0000;23.9;16;45;948.6;14;3;0;
82777;30/08/1976;1200;23.5;17;54;951.2;14;8;0;
82777;30/08/1976;1800;30.6;18.2;30;944.8;14;8;5;
82777;31/08/1976;0000;24.6;16.6;45;946.6;14;5;0;
82777;31/08/1976;1200;23.7;17.6;56;949.4;14;8;0;
82777;31/08/1976;1800;29.6;18.6;36;944.9;14;8;5;
82777;01/09/1976;0000;22.9;16.4;53;946.8;14;4;0;
82777;01/09/1976;1200;23.5;17;54;950.5;14;9;0;
82777;01/09/1976;1800;30;18.2;32;945.5;14;8;5;
82777;02/09/1976;0000;22.9;15.8;45;947.7;14;3;0;
82777;02/09/1976;1200;24.2;17.4;52;949.6;14;8;0;
82777;02/09/1976;1800;30.4;18.6;32;944.7;14;6;6;
82777;03/09/1976;0000;25;17.2;47;946.8;14;8;0;
82777;03/09/1976;1200;24.2;18.2;57;949.1;14;6;8;
82777;03/09/1976;1800;31;19.4;29;944.1;14;8;6;
82777;04/09/1976;0000;25.4;18;49;946.3;14;3;10;
82777;04/09/1976;1200;25.2;18.2;51;948.7;14;8;2;
82777;04/09/1976;1800;32.4;19.4;29;943.7;5;3;6;
82777;05/09/1976;0000;26.6;17.6;42;946;14;3;2;
82777;05/09/1976;1200;26.4;18.8;49;944.2;9;2;0;
82777;05/09/1976;1800;33.6;18.2;22;942.5;14;7;2;
82777;06/09/1976;0000;25.6;15.6;35;945.3;14;1;0;
82777;06/09/1976;1200;24.6;19.4;63;947.9;9;8;4;
82777;06/09/1976;1800;33.2;19.6;28;942.1;5;7;2;
82777;07/09/1976;0000;24.2;16.2;44;945.7;14;1;0;
82777;07/09/1976;1200;24.8;19.6;63;948.3;5;7;6;
82777;07/09/1976;1800;31.8;20.4;36;943.5;5;3;3;
82777;08/09/1976;0000;24.2;17.4;52;944.6;0;0;0;
82777;08/09/1976;1200;23.7;19.2;67;948.7;5;7;10;
82777;08/09/1976;1800;31.2;20.2;37;944;5;4;4;
82777;09/09/1976;0000;24.8;16.8;45;947.1;14;1;0;
82777;09/09/1976;1200;23.1;19.1;69;948.2;5;8;10;
82777;09/09/1976;1800;31.6;20.2;36;943.6;14;3;4;
82777;10/09/1976;0000;25.6;16.6;41;945.7;5;1;0;
82777;10/09/1976;1200;22.5;18.8;71;948.8;5;5;10;
82777;10/09/1976;1800;31.2;19.8;35;944;36;3;4;
82777;11/09/1976;0000;23.3;17.6;58;945.8;14;2;0;
82777;11/09/1976;1200;25;19.2;59;949.5;9;8;5;
82777;11/09/1976;1800;32.2;19.8;32;944.7;9;3;4;
82777;12/09/1976;0000;26.2;17.6;43;946;0;0;3;
82777;12/09/1976;1200;25;19.4;60;949.2;9;6;4;
82777;12/09/1976;1800;32.2;20.4;34;944.8;9;5;5;
82777;13/09/1976;0000;24.2;16.2;44;946.7;0;0;0;
82777;13/09/1976;1200;25;18.2;53;949.4;9;8;0;
82777;13/09/1976;1800;32.6;19.4;29;944.8;5;3;6;
82777;14/09/1976;0000;26.6;17;39;947;5;2;6;
82777;14/09/1976;1200;24.8;18.8;58;949.3;9;8;6;
82777;14/09/1976;1800;31.4;19.4;32;943.7;9;5;2;
82777;15/09/1976;0000;24.8;17;47;946.1;0;0;0;
82777;15/09/1976;1200;24.6;19.6;64;949.1;9;8;10;
82777;15/09/1976;1800;33.4;19.2;25;944.3;9;8;5;
82777;16/09/1976;0000;24.4;17.2;45;946;0;0;0;
82777;16/09/1976;1200;25.4;20.2;63;949.7;9;8;4;
82777;16/09/1976;1800;33.8;18.2;21;945;9;9;4;
82777;17/09/1976;0000;25.4;17;43;947.9;0;0;0;
82777;17/09/1976;1200;25.6;19.4;57;950.3;9;8;0;
82777;17/09/1976;1800;33.2;17.4;19;945.5;9;7;0;
82777;18/09/1976;0000;24.6;15;36;947.9;14;1;0;
82777;18/09/1976;1200;25.2;19.6;60;949.5;14;7;0;
82777;18/09/1976;1800;32.8;18.4;25;945.1;5;6;2;
82777;19/09/1976;0000;25.6;17.4;45;947.3;0;0;0;
82777;19/09/1976;1200;25;19.2;59;950;9;8;4;
82777;19/09/1976;1800;32.4;18.8;26;944.8;5;7;2;
82777;20/09/1976;0000;24.6;15.6;40;946.9;9;2;0;
82777;20/09/1976;1200;25.8;18.8;52;949.3;9;7;2;
82777;20/09/1976;1800;31.6;18.2;27;944.2;14;8;4;
82777;21/09/1976;0000;24.4;15.4;38;946.5;14;2;0;
82777;21/09/1976;1200;25.4;18;49;949.4;9;8;2;
82777;21/09/1976;1800;32.4;18.4;25;944;14;5;0;
82777;22/09/1976;0000;23.3;14.2;36;946.9;5;3;0;
82777;22/09/1976;1200;26.2;19.2;52;948.8;9;8;0;
82777;22/09/1976;1800;32.8;19;27;943.7;5;3;4;
82777;23/09/1976;0000;27.2;17.2;37;946.1;14;1;3;
82777;23/09/1976;1200;25;19.8;63;948.2;9;7;3;
82777;23/09/1976;1800;33.4;20;29;942.4;5;3;6;
82777;24/09/1976;0000;28.4;18.6;39;943.8;14;2;3;
82777;24/09/1976;1200;26.4;18.8;49;946.3;5;7;0;
82777;24/09/1976;1800;33.2;20.8;33;941.7;27;8;8;
82777;25/09/1976;0000;24.4;19.8;66;945.5;27;3;0;
82777;25/09/1976;1200;20.9;20.2;94;947.5;5;6;10;
82777;25/09/1976;1800;30.2;20;39;942.9;5;5;8;
82777;26/09/1976;0000;26.4;19.8;55;945.6;14;4;5;
82777;26/09/1976;1200;21.3;20;89;948.5;9;8;10;
82777;26/09/1976;1800;29.4;20.8;47;944.1;9;5;8;
82777;27/09/1976;0000;23.9;19.8;70;945.6;14;2;0;
82777;27/09/1976;1200;24.6;19.6;64;947.4;9;8;10;
82777;27/09/1976;1800;30;20.8;44;943.2;9;8;10;
82777;28/09/1976;0000;26.4;19.6;54;944.5;14;2;4;
82777;28/09/1976;1200;23.5;19.2;68;945.3;9;8;8;
82777;28/09/1976;1800;32.8;21;35;940.6;5;6;5;
82777;29/09/1976;0000;27.6;19.6;49;942.1;14;3;6;
82777;29/09/1976;1200;23.1;19.4;72;945.3;9;6;10;
82777;29/09/1976;1800;28.6;20.6;50;941.9;9;6;10;
82777;30/09/1976;0000;25.2;19.4;59;944.2;27;3;10;
82777;30/09/1976;1200;21.9;19.8;83;946.7;36;7;10;
82777;30/09/1976;1800;28.8;21.6;54;942.9;5;6;10;
